INTERVAL_END,'1098->1056','1058->1059','1057->1056','1017->1007','1115->1015','1015->1115','1103->1061','1135->1231','1260->1261','1072->1061','1070->1069','1122->1123','1124->1133','1137->1136','1127->1089','1085->1086','1088->1089','1172->1171','1165->1532','1544->1539','1539->1537','1075->1076','1078->1077','1076->1075','1182->1515','1090->1573','1573->1538','1095->1096','1006->1081','1080->1130','1156->1170','1059->1060','1058->1057','1160->1154','1091->1092','1126->1120','1124->1123','1140->1138','1089->1127','1127->1229','1059->1171','1184->1173','1173->1174','1543->1529','1532->1527','1534->1544','1076->1077','1062->1107','1573->1090','1067->1096','1095->1133','1172->1170','1097->1098','1059->1058','1056->1098','1007->1115','1162->1154','1239->1231','1129->1260','1132->1092','1092->1091','1069->1070','1070->1097','1099->1061','1061->1072','1140->1271','1088->1087','1087->1088','1270->1071','1158->1546','1539->1544','1063->1064','1538->1573','1096->1095','1170->1156','1081->1006','1084->1083','1005->1002','1002->1006','1055->1097','1057->1058','1103->1162','1154->1160','1161->1160','1189->1178','1134->1142','1261->1129','1131->1129','1097->1070','1128->1126','1084->1090','1090->1084','1527->1533','1157->1528','1544->1534','1063->1062','1156->1068','1006->1002','1005->1083','1081->1080','1170->1172','1060->1025','1134->1178','1125->1131','1094->1093','1132->1093','1094->1164','1099->1055','1123->1124','1229->1127','1087->1086','1084->1085','1171->1172','1530->1523','1533->1523','1523->1530','1546->1158','1064->1075','1064->1063','1181->1515','1130->1080','1056->1057','1060->1059','1097->1055','1015->1025','1061->1103','1142->1134','1178->1189','1231->1239','1131->1125','1093->1132','1069->1068','1121->1122','1133->1124','1123->1122','1120->1126','1126->1128','1171->1059','1529->1530','1532->1165','1075->1064','1515->1181','1174->1181','1133->1095','1096->1067','1067->1068','1068->1156','1025->1060','1098->1097','1025->1015','1115->1007','1007->1017','1160->1161','1154->1162','1162->1103','1125->1142','1189->1135','1135->1189','1074->1072','1061->1099','1137->1128','1120->1121','1121->1120','1128->1137','1271->1136','1271->1140','1089->1088','1086->1085','1086->1087','1155->1071','1082->1006','1082->1270','1174->1173','1533->1527','1527->1532','1529->1543','1543->1546','1528->1534','1537->1539','1181->1174','1515->1182','1068->1067','1002->1005','1083->1005','1231->1135','1178->1134','1142->1125','1129->1131','1164->1094','1092->1132','1093->1094','1068->1069','1055->1099','1072->1074','1136->1137','1122->1121','1138->1140','1136->1271','1085->1084','1071->1270','1270->1082','1006->1082','1071->1155','1172->1184','1173->1184','1184->1172','1546->1543','1523->1180','1180->1533','1530->1529','1534->1528','1528->1157','1107->1062','1062->1063','1077->1078','1077->1076','1080->1081','1083->1084'
1/03/2019 0:00,97.78,0,0,0,40.55,46,0,0,348,0,0,77,0,58,0,0,48.14,0,0,0,0,0,0,0,0,157.25,0,0,57.6,85.17,0,0,0,0,0,0,98,0,0,0,0,0,68.25,0,0,0,0,0,0,0,0,0,47.8,0,102.33,86.33,0,108.67,0,0,0,0,0,0,82,0,139.67,113.38,69.43,0,0,82,0,0,0,89,164,102,40.75,24.75,0,0,0,0,0,0,0,0,0,60.25,97,77.8,0,0,0,0,0,48.14,98.57,152.75,0,0,103.33,0,0,0,0,0,96,0,0,101.33,0,0,0,0,0,114,0,0,70.25,65.5,0,0,79.11,0,124.33,103.13,0,0,0,0,0,0,85.8,24.4,51.29,0,0,0,0,0,0,0,0,0,0,0,61.17,68.79,86.5,183.6,0,0,0,0,56.83,0,0,0,0,0,0,42.17,0,0,49.67,0,0,94.75,0,0,0,0,0,0,0,0,0,0,106.67,0,112.71,92,0,0,0,0,0,72.5,0,0,0,0,0,0,43.14,0,75.4,72,0,150,97.35,0,0,0,0,0,0,0,0,0,0,75.8,0,0,0,133.75
1/03/2019 0:15,101.8,0,59.75,170.33,39.2,47.3,0,0,0,0,0,79.5,0,57.5,0,0,56,0,0,0,0,0,0,0,107.67,0,0,0,51.67,0,0,0,0,44.33,0,43,91.33,0,429.33,237.33,0,0,0,0,0,14.67,0,0,0,0,0,0,45.2,0,98,84.75,74.33,110,0,0,0,0,0,0,0,0,118,122,74.36,0,0,0,0,0,0,0,152.43,109.67,39.2,27,0,0,92,0,96.75,99.25,0,0,0,63,0,71.75,0,0,0,0,0,51.5,92.67,0,0,0,103.27,0,0,0,0,0,95,0,0,109.88,0,0,0,0,0,82.33,0,0,60.14,64.33,0,40.57,80.88,0,115.71,108.86,0,0,0,0,0,0,84,14.25,61.33,0,0,0,0,0,0,0,0,0,0,0,48.14,67.38,82.8,181,0,0,0,0,54.86,0,0,0,38.67,0,0,41.6,0,0,0,0,58.8,75.2,0,89.36,0,0,0,0,0,0,0,0,0,0,105.25,106.71,20.86,103.55,0,0,0,0,0,0,0,0,0,0,0,0,83.4,76.89,121.33,76,74.4,125.33,0,0,0,0,84.33,0,0,0,142,0,0,0,224.67,112.67
1/03/2019 0:30,109,0,58.6,201.33,39.2,48.3,86.33,0,0,0,0,83.5,0,57.7,0,0,40.25,0,0,0,0,0,0,0,0,0,105,0,0,48.67,77,0,0,0,0,0,92.91,0,230,0,0,0,78.5,0,0,0,0,0,0,0,0,128.33,50.8,0,113.17,90.4,81.5,93.67,0,0,0,0,0,0,0,63,151.67,122.43,78.8,0,0,72,0,0,0,73.67,150.6,0,0,37.71,0,0,0,0,101.57,98.43,0,0,321,65.8,90.6,72.5,0,0,0,0,0,35.33,115.25,148.5,0,0,102.17,0,0,0,0,0,95.17,0,79.2,103,0,0,0,0,0,0,0,0,72.22,63.29,0,0,80,0,135,102.63,0,0,0,0,0,69.86,84.33,17,45.57,0,0,0,0,0,0,186.67,0,0,208.67,0,35.5,68.92,79.89,0,0,0,0,0,51,49.8,0,0,0,0,0,42,0,0,46,0,53,65.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.67,104.71,0,0,0,0,0,0,0,0,0,0,43.33,57,90,72.33,85.75,0,77.71,0,0,0,0,0,0,0,0,0,153,64.5,83,0,137.83,132.5
1/03/2019 0:45,102.42,0,0,0,37.11,46.65,0,23.5,336,68.5,0,0,84.67,54.5,0,0,0,0,165.33,0,0,0,0,0,0,159.33,118.67,0,0,0,98,0,0,0,0,0,94.43,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.11,0,109,91,0,0,0,0,0,0,0,0,0,62.5,120.8,127,69.43,0,0,0,0,0,0,68,151.33,119.33,40.67,28,0,0,0,0,0,102.6,0,0,0,0,69.6,76.5,0,0,93.33,0,0,55.64,88.5,0,0,0,104.5,0,0,0,0,0,0,0,78.67,97.25,0,0,79.8,0,0,97.33,0,0,70.67,68.56,0,24.67,79.83,0,128.75,107.5,0,0,0,0,0,74,84,17.5,49.09,0,0,0,0,0,0,0,0,0,0,0,46.67,68.15,79.88,177.25,0,0,0,0,57,49.67,0,0,0,0,0,44.57,0,68,0,238,0,85.36,0,0,0,0,0,0,0,0,0,0,0,0,109.2,124.67,26,100.14,0,0,0,0,0,0,0,0,84.33,0,0,0,93,64.14,0,0,73.45,0,0,0,0,13.75,0,0,0,0,0,0,0,0,149.83,107.67
1/03/2019 1:00,106,0,0,0,40.43,48.38,0,21,418.25,0,0,0,0,57,0,0,43.75,0,0,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0,0,0,95,49.67,180.5,0,0,0,0,0,0,0,0,0,0,0,0,0,47.67,0,0,92,0,701.5,0,0,0,0,0,0,0,0,111.5,116.8,73.75,0,0,0,0,0,0,72.33,0,0,42.25,27,0,0,0,0,99.57,103.55,0,0,0,61,98.5,82.67,0,0,0,0,0,45.33,93.8,0,127.75,0,105,0,0,0,0,0,0,0,66,106.6,0,0,0,0,0,0,0,0,0,52.75,0,0,75.75,0,131,100.71,0,0,0,0,0,0,84,17,47.67,0,0,0,0,0,0,0,0,0,0,0,0,68.8,82.75,188,0,0,0,0,54.43,49.67,0,0,40.25,0,0,46.4,0,69.67,0,241.33,0,93.6,0,84.67,0,0,0,0,0,0,0,0,0,0,114.5,0,0,106,0,0,0,75.5,0,0,0,80,0,0,43.75,0,68.6,76.86,90,0,78.2,135.5,0,0,86,0,0,0,0,0,134.25,0,0,0,0,116
1/03/2019 1:15,92.13,0,0,174,39.43,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,70.33,83.33,48.5,91.25,0,0,0,0,0,0,0,0,0,0,0,144.33,0,0,0,44.4,0,0,91.17,75.67,101.33,0,0,0,0,0,0,0,0,0,104.33,77.29,0,0,0,126.67,0,0,0,132.33,0,0,24.83,0,0,0,0,0,102.75,0,0,0,63.25,0,71,0,0,47.67,0,0,0,0,0,0,0,106.67,0,0,0,0,0,95.6,0,0,120.64,0,0,0,0,0,0,0,0,58.33,55.8,0,42.8,78,0,0,102.75,0,0,0,0,0,80.67,89.33,0,0,0,0,0,0,0,0,207,0,0,0,0,36,73.33,84,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,50.14,79.67,0,96.75,0,0,0,0,0,0,0,0,0,0,0,0,0,106.6,0,0,0,89.5,0,0,0,0,0,0,0,0,102.8,0,0,0,85.73,0,0,0,92,0,0,0,0,0,0,0,0,0,171.25,0
1/03/2019 1:30,94.29,0,0,163.67,41,45.87,0,27.75,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.2,31.75,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,44.83,0,101.33,94.17,69.83,113.67,0,0,0,0,0,0,0,0,0,0,73.78,0,0,0,0,0,0,64.5,144.13,99.25,42.75,22.17,0,0,0,0,0,0,0,0,0,0,82.67,82.27,0,0,0,0,0,41.4,93.2,144.17,0,0,115.67,0,0,0,0,0,0,0,48.67,107,0,0,0,0,0,0,0,0,64.67,56.75,0,30,79.17,0,120.75,102.4,0,0,0,0,0,0,88.67,22.33,52.25,0,0,0,0,0,0,0,0,125,0,0,40.5,73.5,84.75,175.33,0,0,0,0,0,0,0,0,0,0,0,41.67,0,0,0,0,60.67,70.7,72,63.67,0,0,0,0,0,0,0,0,0,0,135.5,97.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.17,76.44,87.67,63.75,84.9,0,0,0,0,0,0,0,0,0,0,0,0,0,141.17,112
1/03/2019 1:45,102,0,0,0,41.29,43.1,0,24.67,0,0,0,0,0,57.5,210,0,51,0,184.25,0,0,0,0,0,0,0,0,0,0,60.33,0,0,0,0,0,0,96.5,0,190.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,122.8,88.14,0,0,0,0,0,0,67.25,133.4,105.6,0,0,0,0,0,0,103,101.57,0,0,0,0,75.5,70,0,0,0,0,0,41.5,88.5,0,0,0,104.38,0,0,0,0,0,0,0,0,109.29,0,0,0,0,0,0,0,0,64,52,0,0,84.5,0,133.4,124.57,105.4,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,66.8,82,0,0,0,0,0,55,0,0,0,0,0,0,51.67,0,0,0,0,54,80.25,0,0,0,0,0,0,0,0,0,0,0,0,102,99,21.75,98.4,0,0,0,0,0,0,0,0,0,0,38.67,0,85.5,62.33,0,0,81.71,0,0,0,0,0,88.67,0,0,0,0,0,0,0,141,117
1/03/2019 2:00,117.33,0,61.33,0,36.75,45.4,0,0,1792.33,0,0,82.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189.25,0,0,0,0,0,159.33,0,0,0,0,0,0,0,49,0,108.8,0,0,0,0,0,0,0,0,0,0,0,0,0,95.8,0,0,0,0,0,0,72.4,145.33,104.6,0,25,0,0,0,0,0,97.75,0,0,0,0,99.75,78.71,115.33,0,0,0,0,34.83,93.83,150.67,0,0,0,0,0,0,0,0,0,0,0,102.44,0,0,0,0,0,78.67,0,0,48.5,0,0,0,0,0,131,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,45.8,68.62,82.86,182.5,0,0,0,0,56.67,0,0,0,0,0,0,0,0,0,37,0,0,69.83,0,0,0,0,0,0,0,0,0,0,0,0,110.4,90,0,101.43,0,0,0,0,0,0,0,0,0,0,0,0,95.29,72.25,0,0,84.2,0,0,166.33,0,0,0,0,0,0,0,0,0,0,135.25,113
1/03/2019 2:15,0,0,0,171.2,38.63,44.62,50.5,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.6,0,271.67,0,0,0,0,0,0,0,0,0,0,0,0,0,48.33,0,0,91.43,0,104,0,0,0,0,0,0,0,0,0,115.33,86.33,0,0,0,0,0,0,0,0,0,43.67,25.67,0,0,0,0,0,94.67,0,0,0,0,127,69,0,0,0,0,0,36.4,83,156.33,0,0,106.75,0,0,0,0,0,0,0,0,121.89,0,0,0,0,0,0,0,0,66,54.67,0,0,78.29,0,0,0,106.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.45,82.33,175.83,0,70.33,0,0,0,0,0,0,0,0,0,0,0,0,56.33,0,54.5,64.5,60.33,0,0,0,0,0,0,0,0,0,0,0,110,0,24,107.6,0,0,0,0,0,0,0,0,0,0,0,0,71.33,79.57,0,0,75.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.8
